acct_id,extenders,wireless_clients_count,wired_clients_count,rx_avg_bps,tx_avg_bps,rx_p95_bps,tx_p95_bps,rx_max_bps,tx_max_bps,rssi_mean,rssi_median,rssi_max,rssi_min,network_speed,city,state
a5b179b967f041c989cb89fa81a5876785248bf0e8915565f2218b3909b1f40f,1,22,6,63654.82857142856,6525.1214285714295,316848.3857142857,29681.48214285714,657779.7392857143,176418.57499999998,-55.9,-56,-31,-85,1000.0M,GARLAND,TX
6334ab1fa6b0514202b031fc0cb2696e32fb651f6952d255125910e68af5dc45,1,21,4,411220.56000000006,7212.672,1199381.46,26618.728000000003,1843132.4880000001,267689.312,-54.6,-55,-40,-80,1000.0M,SAN ANGELO,TX
a204a28794c3b358de8845592ef8533da3939fc34f5503c230070fb8aa8e5f9d,1,3,7,1243379.09,1246954.44,6561412.8900000015,1496189.31,1.5014632679999998E7,1948590.95,-49.9,-53,-25,-64,1000.0M,TEMECULA,CA
fa1d1ccbcabbdd0b201943bad510f6251ec62c7890df83ce98d8a770e2dafe13,1,11,4,243009.80000000002,6703.213333333333,970373.4133333333,21797.48666666667,2903785.6133333337,91586.79333333335,-56.1,-56,-25,-89,1000.0M,SAN BERNARDINO,CA
29406660ca13b786c3cb6b05a98a44d94ba3e510e69f924c5deecbc5e078c3bc,2,14,8,109815.31363636363,5403.536363636364,623544.0818181819,24624.64545454545,1334269.8863636365,132166.63636363632,-60.8,-56,-44,-85,1000.0M,WATERTOWN,CT
634bb79f9f156156c266b68415210a99c133c43bb1cf5a73272278ab79376ff0,0,20,3,247091.62173913047,12334.530434782606,1120433.0391304346,46217.94782608695,7457745.77826087,119093.02173913043,-63.9,-66,-29,-95,1000.0M,LAND O LAKES,FL
b7fb89be031e36ca1ae836edfb35a3f1f3a3812d98b018640c82d247dd035674,2,23,5,172096.02142857146,14073.664285714283,601267.3535714286,26438.70714285714,908045.0428571431,284145.64999999997,-54.2,-58,-16,-78,500.0M,MORENO VALLEY,CA
26ef04072aa47bf973048e9752eab0c837bfb53e89ad2edb9812a532c7f3dc28,3,13,10,170898.98695652178,264577.96956521744,449350.3434782609,291896.7043478261,693942.7608695652,462491.804347826,-47.8,-48,-17,-83,500.0M,MORENO VALLEY,CA
16df9941aa1bf8b99be829f0306c19979b55085e5a2505a3ff485ef8d6e3079d,0,8,1,840215.0777777778,57790.23333333333,3580252.1333333333,277184.86666666664,9145786.2,2432694.5222222228,-61.3,-65,-41,-84,500.0M,LEWISVILLE,TX
cf66d5ebf9c299e78738980c1429d04ded40f20be0681b981a28d9420da1cf34,3,31,10,458346.6853658538,292983.50243902445,909133.3853658536,388922.36829268286,1645633.404878049,631384.8219512197,-56.5,-55,-19,-84,1000.0M,LONG BEACH,CA
80c92ab0df9c6e6a80c335d3b90406576ef3186433a4ecec543140a54e98507c,0,3,1,51915.875,27967.275,429125.975,175215.2,2414382.5,1835994.5250000001,-57.7,-56,-47,-75,500.0M,CHERRY VALLEY,CA
d1cd0813c4995323d412f9c072f3a286c3234ef4b6486f7ea5207cd8bfe01407,1,12,4,480002.5375,20243.887500000004,1801721.3,38075.1875,3070604.9125,822229.075,-53.8,-63,-20,-84,1000.0M,SOUTH WINDSOR,CT
fdcfc0d960c5630973031d6ac67f927a0eba73b5ec77e3e804f5d1954d1fba02,0,3,3,1112334.4833333332,2039554.5166666666,2548874.116666667,2140934.5500000003,5356846.233333333,2443127.783333333,-71.8,-76,-46,-86,1000.0M,DENTON,TX
59b0161b1ba8d1f22cf431d66679141b3cb0ccd900d856af902ff23378b838a9,2,25,8,84361.65757575758,6760.8,483995.81212121213,18291.609090909093,1225884.1818181816,412222.23333333334,-52.1,-52,-31,-72,1000.0M,DESERT HOT SPRINGS,CA
fd4db52d279b74ba72837baabd470df9822cacf493cad88f429268c609137f65,1,25,11,221706.59166666667,15622.955555555556,827953.4,73283.49444444446,3449189.6805555555,491474.66666666645,-55.9,-58,-29,-84,1000.0M,SAN BERNARDINO,CA
b9148b2baa00141c9740d46d11861e66908a931ca8ffd3307deffa98dba9f6db,1,7,6,134405.16923076924,20377.57692307693,863335.3923076923,72917.85384615386,1202472.246153846,96372.0076923077,-51.1,-50,-33,-73,1000.0M,DARIEN,CT
